id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",1016,858,0,0,73,0,15,70,0,70
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",1907,1447,246,16,120,26,0,52,0,52
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",1330,1020,85,8,101,0,54,62,0,62
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",1228,1104,14,0,42,0,8,60,0,60
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",1129,942,17,0,85,8,9,68,6,62
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",1275,908,24,0,194,17,15,117,0,117
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",1579,267,70,0,1208,0,19,15,0,15
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",1149,746,141,0,169,0,0,93,12,81
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",1376,1048,0,0,145,0,0,183,0,183
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",1537,644,39,0,702,0,59,93,0,93
1500000US530330053011,"Block Group 1, Census Tract 53.01, King County, Washington",3336,2027,146,11,655,18,38,441,11,430
1500000US530330053012,"Block Group 2, Census Tract 53.01, King County, Washington",3124,784,182,70,1835,5,80,168,19,149
1500000US530330053013,"Block Group 3, Census Tract 53.01, King County, Washington",1083,534,30,38,357,0,0,124,17,107
1500000US530330053014,"Block Group 4, Census Tract 53.01, King County, Washington",1286,268,0,61,912,0,33,12,0,12
1500000US530330053021,"Block Group 1, Census Tract 53.02, King County, Washington",2692,1155,53,26,1124,6,16,312,33,279
1500000US530330053022,"Block Group 2, Census Tract 53.02, King County, Washington",1385,636,108,0,537,0,26,78,0,78
1500000US530330053023,"Block Group 3, Census Tract 53.02, King County, Washington",1849,908,65,9,559,28,41,239,39,200
1500000US530330054001,"Block Group 1, Census Tract 54, King County, Washington",1340,1217,58,0,0,0,0,65,0,65
